"Subtribe","Species Name","Authority","Synonymous","Chromosome number  (2n)","Chromosome number  (n)","Chromosome number  Reference","Genome Size (1C (pg))","Genome Size Reference"
"Cymbidiinae","Cymbidium finlaysonianum","Lindl.","Cymbidium pendulum var. brevilabre Lindl.; Cymbidium tricolor Miq.; Cymbidium wallichii Lindl. ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium finlaysonianum","Lindl.","Cymbidium pendulum var. brevilabre Lindl.; Cymbidium tricolor Miq.; Cymbidium wallichii Lindl. ",40,"NA","Pancho (1965)","NA",
"Cymbidiinae","Cymbidium floribundum","Lindl.","Cymbidium chawalongense C.L.Long, H.Li & Z.L.Dao; Cymbidium floribundum f. virescens (Makino) O.Gruss & M.Wolff; Cymbidium floribundum var. pumilum (Rolfe) Y.S.Wu & S.C.Chen; Cymbidium illiberale Hayata; Cymbidium pumilum Rolfe; Cymbidium pumilum f. virescens Makino ",40,"NA","Aoyama (1989)",4.40,"Nagl & Capesius (1977)"
"Cymbidiinae","Cymbidium goeringii ","(Rchb.f.) Rchb.f.","Cymbidium formosanum Hayata; Cymbidium formosanum f. albiflorum S.S.Ying; Cymbidium forrestii Rolfe; Cymbidium goeringii f. albiflorum (S.S.Ying) S.S.Ying; Cymbidium goeringii var. formosanum (Hayata) S.S.Ying; Cymbidium goeringii var. goeringii ; Cymbidium goeringii var. mackinnonii (Duthie) A.N.Rao; Cymbidium mackinnonii Duthie; Cymbidium pseudovirens Schltr.; Cymbidium tentyozanense Masam.; Cymbidium uniflorum T.C.Yen;Cymbidium virens Rchb.f.; Cymbidium virescens Lindl.; Cymbidium yunnanense Schltr.; Maxillaria goeringii Rchb.f. ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium grandiflorum","Sw.","Status ambíguo",40,"NA","Vijayakumar & Subramanian (1994)","NA",
"Cymbidiinae","Cymbidium hookerianum","Rchb.f.","Cymbidium giganteum var. hookerianum (Rchb.f.) Desbois; Cymbidium grandiflorum Griff.; Cymbidium grandiflorum var. punctatum Cogn.; Cyperorchis grandiflora Schltr. ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium insigne","Rolfe","Cymbidium insigne f. album (O'Brien) O.Gruss & M.Wolff; Cymbidium insigne subsp. insigne; Cymbidium insigne var. album O'Brien; Cymbidium insigne var. sanderi O'Brien; Cymbidium sanderi O'Brien; Cyperorchis insignis (Rolfe) Schltr. ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium iridioides","D.Don","Cymbidium giganteum Wall. ex Lindl.; Cyperorchis gigantea (Blume) Schltr.; Iridorchis gigantea Blume; Limodorum longifolium Buch.-Ham. ex Lindl.",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium javanicum","Blume","Cymbidium lancifolium Hook.","38, 43, 57","NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium kanran","Makino","Cymbidium kanran f. purpurascens Makino; Cymbidium kanran var. aestivale Y.S. Wu; Cymbidium kanran var. purpureohiemale (Hayata) S.S.Ying; Cymbidium linearisepalum Yamam.; Cymbidium linearisepalum f. atropurpureum Yamam.; Cymbidium linearisepalum f. atrovirens Yamam.; Cymbidium linearisepalum var. atropurpureum (Yamam.) Masam.; Cymbidium linearisepalum var. atrovirens (Yamam.) Masam.; Cymbidium nigrovenium Z.J.Liu & J.N.Zhang; Cymbidium oreophilum Hayata; Cymbidium purpureohiemale Hayata; Cymbidium sinokanran T.C.Yen; Cymbidium sinokanran var. atropurpureum T.C.Yen; Cymbidium tosyaense Masam. ",40,"NA","Tanaka 1965a","NA",
"Cymbidiinae","Cymbidium kanran","Makino","Cymbidium kanran f. purpurascens Makino; Cymbidium kanran var. aestivale Y.S. Wu; Cymbidium kanran var. purpureohiemale (Hayata) S.S.Ying; Cymbidium linearisepalum Yamam.; Cymbidium linearisepalum f. atropurpureum Yamam.; Cymbidium linearisepalum f. atrovirens Yamam.; Cymbidium linearisepalum var. atropurpureum (Yamam.) Masam.; Cymbidium linearisepalum var. atrovirens (Yamam.) Masam.; Cymbidium nigrovenium Z.J.Liu & J.N.Zhang; Cymbidium oreophilum Hayata; Cymbidium purpureohiemale Hayata; Cymbidium sinokanran T.C.Yen; Cymbidium sinokanran var. atropurpureum T.C.Yen; Cymbidium tosyaense Masam. ",40.41,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium lancifolium","Hook.","Cymbidiopsis lancifolia (Hook.) H.J.Chowdhery; Cymbidium aspidistrifolium Fukuy.; Cymbidium bambusifolium Fowlie, F.Mark & F.S.Ho; Cymbidium caulescens Ridl.; Cymbidium cuspidatum Blume; Cymbidium gibsonii Lindl. & Paxton; Cymbidium javanicum Blume; Cymbidium javanicum var. aspidistrifolium (Fukuy.) F.Maek.; Cymbidium javanicum var. pantlingii F.Maek.; Cymbidium kerrii Rolfe ex Downie; Cymbidium lancifolium f. aspidistrifolium (Fukuy.) T.P.Lin; Cymbidium lancifolium var. aspidistrifolium (Fukuy.) S.S.Ying; Cymbidium lancifolium var. papuanum (Schltr.) S.S.Ying; Cymbidium lancifolium var. syunitianum (Fukuy.) S.S.Ying; Cymbidium longifolium var. aspidistrifolium (Fukuy.) S.S. Ying; Cymbidium maclehoseae S.Y.Hu Cymbidium nagifolium Masam.; Cymbidium papuanum Schltr.; Cymbidium syunitianum Fukuy. ",38,"NA","Li & Chen (1989)","NA",
"Cymbidiinae","Cymbidium lancifolium","Hook.","Cymbidiopsis lancifolia (Hook.) H.J.Chowdhery; Cymbidium aspidistrifolium Fukuy.; Cymbidium bambusifolium Fowlie, F.Mark & F.S.Ho; Cymbidium caulescens Ridl.; Cymbidium cuspidatum Blume; Cymbidium gibsonii Lindl. & Paxton; Cymbidium javanicum Blume; Cymbidium javanicum var. aspidistrifolium (Fukuy.) F.Maek.; Cymbidium javanicum var. pantlingii F.Maek.; Cymbidium kerrii Rolfe ex Downie; Cymbidium lancifolium f. aspidistrifolium (Fukuy.) T.P.Lin; Cymbidium lancifolium var. aspidistrifolium (Fukuy.) S.S.Ying; Cymbidium lancifolium var. papuanum (Schltr.) S.S.Ying; Cymbidium lancifolium var. syunitianum (Fukuy.) S.S.Ying; Cymbidium longifolium var. aspidistrifolium (Fukuy.) S.S. Ying; Cymbidium maclehoseae S.Y.Hu Cymbidium nagifolium Masam.; Cymbidium papuanum Schltr.; Cymbidium syunitianum Fukuy. ","38, 39","NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium lowianum","(Rchb.f.) Rchb.f.","Cymbidium giganteum var. lowianum Rchb.f.; Cymbidium hookerianum var. lowianum (Rchb.f.) Y.S.Wu & S.C.Chen; Cymbidium lowianum f. concolor (Rolfe) O.Gruss & M.Wolff; Cymbidium lowianum var. concolor Rolfe; Cymbidium lowianum var. lowianum; Cymbidium lowianum var. superbissimum L.Linden; Cymbidium lowianum var. viride Warner ex B.S.Williams; Cyperorchis lowiana (Rchb.f.) Schltr. ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium macrorhizon","Lindl.","Aphyllorchis aberrans (Finet) Schltr.; Bletia nipponica Franch. & Sav.; Cymbidiopsis macrorhiza (Lindl.) H.J.Chowdhery; Cymbidium aberrans (Finet) Schltr.; Cymbidium aphyllum Ames & Schltr.; Cymbidium macrorhizon var. aberrans (Finet) P.J.Cribb & Du Puy; Cymbidium nipponicum (Franch. & Sav.) Rolfe; Cymbidium pedicellatum Finet; Cymbidium sagamiense (Nakai) Makino & Nemoto; Cymbidium szechuanensis S.Y.Hu; Pachyrhizanthe aberrans (Finet) Nakai; Pachyrhizanthe aphylla Nakai; Pachyrhizanthe macrorhizos (Lindl.) Nakai; Pachyrhizanthe nipponica (Franch. & Sav.) Nakai; Pachyrhizanthe sagamiensis Nakai; Yoania aberrans Finet ",38,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium madidum","Lindl.","Cymbidium albuciflorum F.Muell.; Cymbidium iridifolium A.Cunn. ex Lindl.; Cymbidium leae Rendle; Cymbidium leroyi St.Cloud; Cymbidium madidum var. leroyi (St.Cloud) Menninger; Cymbidium queeneanum Klinge ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium mastersii","Griff. ex Lindl.","Cymbidium affine Griff.; Cymbidium mastersii var. album Rchb.f.; Cymbidium micromeson Lindl.; Cyperorchis mastersii (Griff. ex Lindl.) Benth. ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium nanulum"," Y. S. Wu & S. C. Chen",,40,"NA","Li et al. (2002a)","NA",
"Cymbidiinae","Cymbidium parishii","Rchb.f.","Cymbidium eburneum var. parishii (Rchb.f.) Hook.f.; Cyperorchis parishii (Rchb.f.) Schltr. ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium qiubeiense","K. M. Feng & H. Li",,40,"NA","Li et al. (2002b)","NA",
"Cymbidiinae","Cymbidium serratum ","Schltr.","Cymbidium formosanum var. gracillimum (Fukuy.) T.S.Liu & H.J.Su; Cymbidium goeringii var. gracillimum (Fukuy.) Govaerts; Cymbidium goeringii var. serratum (Schltr.) Y.S.Wu & S.C.Chen; Cymbidium gracillimum Fukuy. ",40,"NA","Li et al. (2002b)","NA",
"Cymbidiinae","Cymbidium sinense","(Jacks.) Willd.","Cymbidium albojucundissimum Hayata; Cymbidium chinense Heynh.; Cymbidium fragrans Salisb.; Cymbidium hoosai Makino; Cymbidium hoosai f. hakuran Makino; Cymbidium sinense f. albojucundissimum (Hayata) Fukuy.; Cymbidium sinense f. aureomarginatum T.C.Yen; Cymbidium sinense f. margicoloratum (Hayata) Fukuy.; Cymbidium sinense f. pallidiflorum (S.S.Ying) S.S.Ying; Cymbidium sinense f. taiwanianum (S.S.Ying) S.S.Ying; Cymbidium sinense f. viridiflorum T.C.Yen; Cymbidium sinense var. albojucundissimum (Hayata) Masam.; Cymbidium sinense var. album T.C.Yen; Cymbidium sinense var. bellum T.C.Yen; Cymbidium sinense var. margicoloratum Hayata; Cymbidium sinense var. pallidiflorum S.S.Ying; Cymbidium sinense var. taiwanianum S.S.Ying; Epidendrum sinense Jacks.;Wutongshania guangdongensis Z.J.Liu & J.N.Zhang ",40,"NA","Aoyama (1989)",3.20,"Jones et al. (1998) "
"Cymbidiinae","Cymbidium suavissimum ","Sander ex C. H. Curtis",,40,"NA","Li et al. (2003)","NA",
"Cymbidiinae","Cymbidium tigrinum","C.S.P.Parish ex Hook.","Cyperorchis tigrina (C.S.P.Parish ex Hook.) Schltr. ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium tortisepalum var. longibracteatum ","(Y. S. Wu & S. C. Chen) S. C. Chen & Z. J. Liu","Cymbidium goeringii var. longibracteatum (Y.S.Wu & S.C.Chen) Y.S.Wu & S.C.Chen; Cymbidium longibracteatum Y.S.Wu & S.C.Chen ",40,"NA","Li et al. (2002b)","NA",
"Cymbidiinae","Cymbidium tracyanum ","L.Castle","Cyperorchis tracyana (L.Castle) Schltr. ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium wenshanense ","Y. S. Wu & F. Y. Liu","Cymbidium quinquelobum Z.J.Liu & S.C.Chen; Cymbidium wenshanense var. quinquelobum (Z.J.Liu & S.C.Chen) Z.J.Liu, S.C.Chen & P.J.Cribb ",40,"NA","Li et al. (2003)","NA",
"Cymbidiinae","Cymbidium whiteae","King & Pantl.","Cyperorchis whiteae (King & Pantl.) Schltr. ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Genus Grammatophyllum Blume (12 species)",,,,,,,
"Cymbidiinae","Grammatophyllum stapeliiflorum","(Teijsm. & Binn.) J.J.Sm.","Cymbidium huttonii Hook.f.; Cymbidium stapeliiflorum Teijsm. & Binn.; Cymbidium stephensii Ridl.; Grammangis huttonii (Hook.f.) Benth. & Hook.f.; Grammangis stapeliiflora (Teijsm. & Binn.) Schltr.; Sadokum stapeliiflorum (Teijsm. & Binn.) D.Tiu & Cootes",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Grammatophyllum speciosum","Blume","Grammatophyllum cominsii Rolfe; Grammatophyllum fastuosum Lindl.; Grammatophyllum giganteum Blume ex Rchb.f.; Grammatophyllum macranthum (Wight) Rchb.f.; Grammatophyllum pantherinum Rchb.f.; Grammatophyllum papuanum J.J.Sm.; Grammatophyllum sanderianum auct.; Pattonia macrantha Wight ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Grammatophyllum scriptum ","(L.) Blume","Cymbidium scriptum (L.) Sw.; Epidendrum scriptum L.; Gabertia scripta (L.) Gaudich.; Grammatophyllum boweri F.Muell.; Grammatophyllum celebicum Schltr.; Grammatophyllum leopardinum Rchb.f.; Grammatophyllum scriptum var. boweri (F.Muell.) Schltr.; Grammatophyllum scriptum var. minahassae Schltr.; Grammatophyllum seegerianum Hook.f.; Vanda scripta (L.) Spreng. ",40,"NA","Aoyama (1989)",1.70,"Jones et al. (1998) "
"Cymbidiinae","Genus Acriposis Blume (9 species)",,,,,,,
"Cymbidiinae","Acriopsis liliifolia","(J.Koenig) Seidenf.","Acriopsis annamica Finet; Acriopsis floribunda Ames; Acriopsis griffithii Rchb.f.; Acriopsis harae Tuyama; Acriopsis insulari-silvatica Fukuy.; Acriopsis javanica Reinw. ex Blume; Acriopsis javanica var. floribunda (Ames) Minderh. & de Vogel; Acriopsis javanica var. nelsoniana (F.M.Bailey) J.J.Sm.; Acriopsis liliifolia var. liliifolia; Acriopsis nelsoniana F.M.Bailey; Acriopsis papuana Kraenzl. ex K.Schum. & Lauterb.; Acriopsis philippinensis Ames; Acriopsis picta Lindl.; Acriopsis sumatrana Schltr.; Epidendrum liliifolium J.Koenig; Spathoglottis trivalvis Lindl. ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Genus Cymbidiella Rolfe (3 species)",,,,,,,
"Cymbidiinae","Cymbidiella flabellata","(Thouars) Rolfe","Caloglossum flabellatum (Thouars) Schltr.; Cymbidiella perrieri Schltr.; Cymbidium flabellatum (Thouars) Spreng.; Graphorkis flabellata (Spreng.) Kuntze; Limodorum flabellatum Thouars ",52,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidiella pardalina","(Rchb.f.) Garay","Caloglossum rhodochilum (Rolfe) Schltr.; Cymbidiella rhodochila (Rolfe) Rolfe; Cymbidium loise-chauvierii hort.; Cymbidium rhodochilum Rolfe; Grammangis pardalina Rchb.f. ",52,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Genus Dipodium R. Br. (24 species)",,,,,,,
"Cymbidiinae","Dipodium paludosum","(Griff.) Rchb.f.","Grammatophyllum affine Griff.; Grammatophyllum paludosum Griff.; Wailesia paludosa (Griff.) Rchb.f.",46,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Genus Grammangis Rchb.f. (2 species)",,,,,,,
"Cymbidiinae","Grammangis ellisii","(Lindl.) Rchb.f.","Gabertia ellisii (Lindl.) Gaudich.; Grammangis ellisii var. dayanum Rchb.f.; Grammangis fallax Schltr.; Grammatophyllum ellisii Lindl. ",54,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Genus Graphorkis Thouars (4 species)",,,,,,,
"Cymbidiinae","Graphorkis concolor var. alphabetica","F.N.Rasm.","Epidendrum scriptum Thouars; Eulophia scripta (Thouars) Lindl.; Eulophiopsis scripta (Thouars) Pfitzer; Graphorchis scripta (Lindl.) Kuntze; Graphorkis aiolographis Thouars; Graphorkis monographis Thouars; Graphorkis scripta (Thouars) Kuntze; Limodorum scriptum Thouars; Lissochilus scriptus (Thouars) H.Perrier ",54,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Graphorkis lurida ","(Sw.) Kuntze","Angraecum luridum (Sw.) Lindl. ex Steud.; Eulophia longicollis Lindl.; Eulophia lurida (Sw.) Lindl.; Eulophia virilis Lindl.; Eulophiopsis lurida (Sw.) Schltr.; Graphorchis lurida (Sw.) Kuntze; Limodorum luridum Sw. ",52,"NA","Burg & Laan (1980)","NA",
"Cyrtopodiinae","Genus  Cyrtopodium R. Br. (48 species)",,,,,,,
"Cyrtopodiinae","Cyrtopodium punctatum","(L.) Lindl.","Cymbidium trinerve G.Mey.; Cyrtopodium bracteatum Linden ex Lindl.; Cyrtopodium punctatum var. bracteatum (Linden ex Lindl.) Rchb.f.; Cyrtopodium speciosissimum Planch.; Epidendrum mayzifolium Lindl.; Epidendrum punctatum L. ",46,"NA","Aoyama (1989)","NA",
"Cyrtopodiinae","Cyrtopodium andersonii","(Lamb. ex Andrews) R.Br.","Cymbidium andersonii Lamb. ex Andrews; Cyrtopodium andersonii var. flavescens (Cogn.) Cogn.; Cyrtopodium flavescens Cogn.; Cyrtopodium goodseffianum hort.; Cyrtopodium roraimense L.C.Menezes ",46,"NA","Aoyama (1989)","NA",
"Cyrtopodiinae","Cyrtopodium hatschbachii"," Pabst","Cyrtopodium bradei Schltr. ex Hoehne ","NA",23,"Grabiele et al. (2011)","NA",
"Eriopsidinae","Genus Eriopsis Lindl. (5 species)",,,,,,,
"Eriopsidinae","Eriopsis biloba","Lindl.","Eriopsis fuerstenbergii Kraenzl.; Eriopsis rhytidobulbon Lem.; Eriopsis schomburgkii (Rchb.f.) Rchb.f.; Pseuderiopsis schomburgkii Rchb.f. ",40,"NA","Daker & Jones (1970)",,
"Eriopsidinae","Eriopsis biloba","Lindl.","Eriopsis fuerstenbergii Kraenzl.; Eriopsis rhytidobulbon Lem.; Eriopsis schomburgkii (Rchb.f.) Rchb.f.; Pseuderiopsis schomburgkii Rchb.f. ",40,"NA","Ayoama (1989)",,
"Eriopsidinae","Eriopsis rutidobulbon","Hook.","Eriopsis colombiana Schltr.; Eriopsis werckleri Schltr. ",40,"NA","Daker & Jones (1970)",,
"Eriopsidinae","Eriopsis rutidobulbon","Hook.","Eriopsis colombiana Schltr.; Eriopsis werckleri Schltr. ",40,"NA","Ayoama (1989)",,
"Eulophiinae","Genus Eulophia R. Br. ex Lindl. (201 species)",,,,,,,
"Eulophiinae","Eulophia guineensis","Lindl.","Eulophia congoensis Cogn.; Eulophia guineensis var. kibilana Schltr.; Eulophia guineensis var. purpurata Rchb.f. ex Kotschy; Eulophia guineensis var. tisserantii Szlach. & Olszewski; Eulophia quartiniana A.Rich.; Galeandra quartiniana (A.Rich.) Rchb.f.; Graphorchis guineensis (Lindl.) Kuntze; Graphorkis guineensis (Lindl.) Kuntze; Saccolabium abyssinicum A.Rich. ",54,"NA","Aoyama (1989)","NA",
"Eulophiinae","Eulophia petersii","(Rchb.f.) Rchb.f.","Epidendrum schimperi Hochst. ex A.Rich.; Eulophia baginsensis Rchb.f.; Eulophia caffra Rchb.f.; Eulophia circinnata Rolfe; Eulophia coleae Rolfe; Eulophia gumbariensis De Wild.; Eulophia longipedunculata Rendle; Eulophia phillipsiae Rolfe; Eulophia schimperiana A.Rich.; Eulophia smithii Rolfe; Galeandra petersii Rchb.f.; Graphorchis baginsensis (Rchb. f.) Kuntze; Graphorchis caffra (Rchb. f.) Kuntze; Graphorchis petersii (Rchb. f.) Kuntze; Graphorkis baginsensis (Rchb.f.) Kuntze; Graphorkis caffra (Rchb.f.) Kuntze; Graphorkis petersii (Rchb.f.) Kuntze ",48,"NA","Aoyama (1989)","NA",
"Eulophiinae","Eulophia streptopetala","Lindl.","Eulophia crepidata Butzin; Eulophia grantii (Rchb.f.) Summerh.; Eulophia krebsii (Rchb.f.) Bolus; Eulophia manganjensis Rolfe; Eulophia paivaeana (Rchb.f.) Summerh.; Eulophia paivaeana subsp. borealis Summerh.; Eulophia streptopetala var. streptopetala; Eulophia stuhlmannii (Kraenzl.) Butzin; Hypodematium abyssinicum A.Rich.; Lissochilus abyssinicus (A.Rich.) T.Durand & Schinz; Lissochilus arabicus Lindl.; Lissochilus carsonii Rolfe; Lissochilus erythraeae Rolfe; Lissochilus graeferi Kraenzl.; Lissochilus graniticus Schweinf.; Lissochilus grantii Rchb.f.; Lissochilus kirkii Rolfe; Lissochilus krebsii Rchb.f.; Lissochilus morrumbalaensis De Wild.;Lissochilus oatesii Rolfe; Lissochilus oliverianus Rchb.f.; Lissochilus paivaeanus Rchb.f.; Lissochilus paivaeanus var. stenophyllus Rchb.f.; Lissochilus papilionaceus Rendle; Lissochilus renschianus Rchb.f.; Lissochilus ruwenzoriensis Rendle; Lissochilus shirensis Rendle; Lissochilus streptopetalus (Lindl.) Lindl.; Lissochilus stuhlmannii Kraenzl.; Lissochilus ukingensis Schltr.",42,"NA","Aoyama (1989)","NA",
"Eulophiinae","Eulophia pulchra ","(Thouars) Lindl.","Eulophia ambaxiana J.J.Sm.; Eulophia coccifera Frapp. ex Cordem.; Eulophia emarginata Blume; Eulophia guamensis Ames; Eulophia macrostachya Lindl.; Eulophia novoebudae Kraenzl.; Eulophia papuana F.M.Bailey; Eulophia pelorica D.L.Jones & M.A.Clem.; Eulophia pulchra var. actinomorpha W.M.Lin, Kuo Huang & T.P.Lin; Eulophia rouxii Kraenzl.; Eulophia silvatica Schltr.; Eulophia striata Rolfe; Eulophia versicolor Frapp. ex Cordem.; Eulophidium pulchrum (Thouars) Summerh.; Eulophidium silvaticum (Schltr.) Summerh.; Graphorchis macrostachya (Lindl.) Kuntze; Graphorchis pulchra (Thouars) Kuntze; Graphorkis bisdahliana Kuntze; Graphorkis blumeana Kuntze; Graphorkis calographis Thouars; Graphorkis macrostachya (Lindl.) Kuntze; Graphorkis pulchra (Thouars) Kuntze; Limodorum pulchrum Thouars; Lissochilus pulcher (Thouars) H.Perrier; Oeceoclades pulchra (Thouars) P.J.Cribb & M.A.Clem.",32,"NA","Pancho (1965)","NA",
"Eulophiinae","Eulophia spectabilis "," (Dennst.) Suresh","Cyrtopera bicolor (Ridl.) Ridl.; Cyrtopera fusca Wight; Cyrtopera gardneri Thwaites; Cyrtopera godefroyi Rchb.f.; Cyrtopera laxiflora Gardner ex Thwaites; Cyrtopera mysorensis Lindl.; Cyrtopera nuda (Lindl.) Rchb.f.; Cyrtopera plicata Lindl.; Cyrtopera regnieri Rchb.f.; Cyrtopera squalida (Lindl.) Rchb.f.; Cyrtopodium bicolor Ridl.; Cyrtopodium fuscum Trimen; Cyrtopodium squalidum (Lindl.) Vidal; Eulophia bicolor Blume; Eulophia bicolor Dalzell; Eulophia bicolor var. celebica J.J.Sm.; Eulophia burkei Rolfe ex Downie; Eulophia celebica Blume; Eulophia elata Hook.f.; Eulophia elongata Blume; Eulophia fusca (Wight) Blume; Eulophia hildebrandii Schltr.; Eulophia holochila Collett & Hemsl.; Eulophia lutea Blume; Eulophia macgregorii Ames; Eulophia mucronata Blume; Eulophia nuda Lindl.; Eulophia regnieri (Rchb.f.) Guillaumin; Eulophia squalida Lindl.; Eulophia sumatrana Blume; Geodorum pierrei Gagnep.; Graphorchis elata (Hook. f.) Kuntze; Graphorchis holochila (Collett & Hemsl.) Kuntze; Graphorchis nuda (Lindl.) Kuntze; Graphorchis squalida (Lindl.) Kuntze; Graphorchis sumatrana (Blume) Kuntze; Graphorkis elata (Hook.f.) Kuntze; Graphorkis holochila (Collett & Hemsl.) Kuntze; Graphorkis nuda (Lindl.) Kuntze; Graphorkis squalida (Lindl.) Kuntze; Graphorkis sumatrana (Blume) Kuntze; Phaius steppicolus Hand.-Mazz.; Semiphajus chevalieri Gagnep.; Wolfia spectabilis Dennst. ",32,"NA","Pancho (1965)","NA",
"Eulophiinae","Eulophia spectabilis "," (Dennst.) Suresh","Cyrtopera bicolor (Ridl.) Ridl.; Cyrtopera fusca Wight; Cyrtopera gardneri Thwaites; Cyrtopera godefroyi Rchb.f.; Cyrtopera laxiflora Gardner ex Thwaites; Cyrtopera mysorensis Lindl.; Cyrtopera nuda (Lindl.) Rchb.f.; Cyrtopera plicata Lindl.; Cyrtopera regnieri Rchb.f.; Cyrtopera squalida (Lindl.) Rchb.f.; Cyrtopodium bicolor Ridl.; Cyrtopodium fuscum Trimen; Cyrtopodium squalidum (Lindl.) Vidal; Eulophia bicolor Blume; Eulophia bicolor Dalzell; Eulophia bicolor var. celebica J.J.Sm.; Eulophia burkei Rolfe ex Downie; Eulophia celebica Blume; Eulophia elata Hook.f.; Eulophia elongata Blume; Eulophia fusca (Wight) Blume; Eulophia hildebrandii Schltr.; Eulophia holochila Collett & Hemsl.; Eulophia lutea Blume; Eulophia macgregorii Ames; Eulophia mucronata Blume; Eulophia nuda Lindl.; Eulophia regnieri (Rchb.f.) Guillaumin; Eulophia squalida Lindl.; Eulophia sumatrana Blume; Geodorum pierrei Gagnep.; Graphorchis elata (Hook. f.) Kuntze; Graphorchis holochila (Collett & Hemsl.) Kuntze; Graphorchis nuda (Lindl.) Kuntze; Graphorchis squalida (Lindl.) Kuntze; Graphorchis sumatrana (Blume) Kuntze; Graphorkis elata (Hook.f.) Kuntze; Graphorkis holochila (Collett & Hemsl.) Kuntze; Graphorkis nuda (Lindl.) Kuntze; Graphorkis squalida (Lindl.) Kuntze; Graphorkis sumatrana (Blume) Kuntze; Phaius steppicolus Hand.-Mazz.; Semiphajus chevalieri Gagnep.; Wolfia spectabilis Dennst. ",54,"NA","Chatterji (1965)","NA",
