"Subtribe","Species Name","Authority","Synonymous","Chromosome number  (2n)","Chromosome number  (n)","Chromosome number  Reference","Genome Size (1C (pg))","Genome Size Reference"
"Eulophiinae","Eulophia spectabilis "," (Dennst.) Suresh","Cyrtopera bicolor (Ridl.) Ridl.; Cyrtopera fusca Wight; Cyrtopera gardneri Thwaites; Cyrtopera godefroyi Rchb.f.; Cyrtopera laxiflora Gardner ex Thwaites; Cyrtopera mysorensis Lindl.; Cyrtopera nuda (Lindl.) Rchb.f.; Cyrtopera plicata Lindl.; Cyrtopera regnieri Rchb.f.; Cyrtopera squalida (Lindl.) Rchb.f.; Cyrtopodium bicolor Ridl.; Cyrtopodium fuscum Trimen; Cyrtopodium squalidum (Lindl.) Vidal; Eulophia bicolor Blume; Eulophia bicolor Dalzell; Eulophia bicolor var. celebica J.J.Sm.; Eulophia burkei Rolfe ex Downie; Eulophia celebica Blume; Eulophia elata Hook.f.; Eulophia elongata Blume; Eulophia fusca (Wight) Blume; Eulophia hildebrandii Schltr.; Eulophia holochila Collett & Hemsl.; Eulophia lutea Blume; Eulophia macgregorii Ames; Eulophia mucronata Blume; Eulophia nuda Lindl.; Eulophia regnieri (Rchb.f.) Guillaumin; Eulophia squalida Lindl.; Eulophia sumatrana Blume; Geodorum pierrei Gagnep.; Graphorchis elata (Hook. f.) Kuntze; Graphorchis holochila (Collett & Hemsl.) Kuntze; Graphorchis nuda (Lindl.) Kuntze; Graphorchis squalida (Lindl.) Kuntze; Graphorchis sumatrana (Blume) Kuntze; Graphorkis elata (Hook.f.) Kuntze; Graphorkis holochila (Collett & Hemsl.) Kuntze; Graphorkis nuda (Lindl.) Kuntze; Graphorkis squalida (Lindl.) Kuntze; Graphorkis sumatrana (Blume) Kuntze; Phaius steppicolus Hand.-Mazz.; Semiphajus chevalieri Gagnep.; Wolfia spectabilis Dennst. ",54,"NA","Singh (1981)","NA",
"Eulophiinae","Eulophia exaltata ","Rchb.","Bletia stricta C.Presl; Cyrtopera ensiformis Lindl.; Cyrtopodium ensiforme (Lindl.) Vidal; Eulophia exaltata var. sarasinorum Schltr.; Eulophia stricta (C.Presl) Ames; Graphorchis exaltata (Rchb. f.) Kuntze; Graphorkis exaltata (Rchb.f.) Kuntze ",32,"NA","Pancho (1965)","NA",
"Eulophiinae","Eulophia euantha","Schltr.","Eulophia abyssinica var. euantha (Schltr.) Geerinck; Eulophia speciosa Rolfe; Eulophia speciosissima Butzin ",40,"NA","Vij et al. (1982)","NA",
"Eulophiinae","Eulophia euglossa ","(Rchb.) Rchb. ex Bateman","Eulophia dusenii Kraenzl.; Galeandra euglossa Rchb.f. ","40, 41","NA","Ar-Rushdi (1971)","NA",
"Eulophiinae","Eulophia euglossa ","(Rchb.) Rchb. ex Bateman","Eulophia dusenii Kraenzl.; Galeandra euglossa Rchb.f. ",44,"NA","Burg & Laan (1980)","NA",
"Eulophiinae","Eulophia gracilis ","Lindl.","Eulophia ciliata (Schumach.) Rchb.f.; Eulophia laurentiana Kraenzl.; Eulophia preussii Kraenzl.; Eulophia virens A.Chev.; Galeandra extinctoria Lindl.; Galeandra gracilis (Lindl.) Lindl.; Graphorchis ciliata (Rchb. f.) Kuntze; Graphorchis gracilis (Lindl.) Kuntze; Graphorkis ciliata (Schumach.) Kuntze; Graphorkis gracilis (Lindl.) Kuntze; Limodorum ciliatum Schumach. ",44,"NA","Burg & Laan (1980)","NA",
"Eulophiinae","Eulophia gracilis ","Lindl.","Eulophia ciliata (Schumach.) Rchb.f.; Eulophia laurentiana Kraenzl.; Eulophia preussii Kraenzl.; Eulophia virens A.Chev.; Galeandra extinctoria Lindl.; Galeandra gracilis (Lindl.) Lindl.; Graphorchis ciliata (Rchb. f.) Kuntze; Graphorchis gracilis (Lindl.) Kuntze; Graphorkis ciliata (Schumach.) Kuntze; Graphorkis gracilis (Lindl.) Kuntze; Limodorum ciliatum Schumach. ","44, 66","NA","Ar-Rushdi (1971)","NA",
"Eulophiinae","Eulophia graminea ","Lindl.","Eulophia decipiens Kurz; Eulophia gusukumae Masam.; Eulophia inconspicua Griff.; Eulophia ramosa Hayata; Eulophia sinensis Miq.; Eulophia ucbii Malhotra & Balodi; Eulophia venusta Schltr.; Graphorchis decipiens (Kurz) Kuntze; Graphorchis graminea (Lindl.) Kuntze; Graphorchis inconspicua (Griff.) Kuntze; Graphorkis decipiens (Kurz) Kuntze; Graphorkis graminea (Lindl.) Kuntze; Graphorkis inconspicua (Griff.) Kuntze ",56,"NA","Biswas (1978)","NA",
"Eulophiinae","Eulophia ochreata"," Lindl.","Graphorchis ochreata (Lindl.) Kuntze; Graphorkis ochreata (Lindl.) Kuntze ",54,"NA","Singh (1981)","NA",
"Eulophiinae","Eulophia dabia ","(D. Don) Hochr.","Bletia dabia D.Don; Eulophia campestris Wall. ex Lindl.; Eulophia dabia (D. Don) M.S. Balakr.; Eulophia faberi Rolfe; Eulophia hemileuca Lindl.; Eulophia hormusjii Duthie; Eulophia ramentacea (Roxb.) Lindl.; Eulophia rupestris Wall. ex Lindl.; Eulophia turkestanica (Litv.) Schltr.; Geodorum ramentaceum (Roxb.) Voigt; Graphorkis campestris (Wall. ex Lindl.) Kuntze; Graphorkis dabia (D.Don) Kuntze; Graphorkis rupestris (Wall. ex Lindl.) Kuntze; Limodorum dabia (D.Don) Buch.-Ham. ex D.Don; Limodorum dubium Buch.-Ham. ex Lindl.; Limodorum ramentaceum Roxb.; Limodorum turkestanicum Litv. ",54,"NA","Kulkarni & Jorapur (1979)","NA",
"Eulophiinae","Eulophia epidendraea"," (J. Koenig) C. E. C. Fisch.","Aerobion carinatum Spreng.; Alismorkis carinata (Willd.) Kuntze; Angraecum carinatum (Willd.) Kostel.; Calanthe carinata (Willd.) Lindl.; Eulophia carinata (Willd.) Lindl.; Eulophia epidendroides (Willd.) Schltr.; Eulophia virens (Roxb.) Spreng.; Eulophia viridiflora Steud.; Eulophus carinatus (Willd.) R.Br.; Eulophus virens (Roxb.) R.Br.; Graphorkis virens (Roxb.) Kuntze; Limodorum carinatum Willd.; Limodorum epidendroides Willd.; Limodorum variegatum Lam.; Limodorum virens Roxb.; Serapias epidendraea J.Koenig ex Retz. ",54,"NA","Vijayakumar & Subramanian (1994)","NA",
"Eulophiinae","Eulophia cristata ","(Afzel. ex Sw.) Steud.","Eulophia articulata (Schumach.) Lindl.;Eulophia longibracteata (Lindl.) T.Durand & Schinz; Eulophia sarticulata Lindl.; Galeandra longibracteata Lindl.; Graphorchis articulata (Lindl.) Kuntze; Graphorchis cristata (Steud.) Kuntze; Graphorkis articulata (Schumach.) Kuntze; Graphorkis cristata (Afzel. ex Sw.) Kuntze; Limodorum articulatum Schumach.; Limodorum cristatum Afzel. ex Sw.; Lissochilus heudelotii Rchb.f.; Lissochilus purpuratus Lindl.; Lissochilus uliginosus Rolfe ",46,"NA","Ar-Rushdi (1971)","NA",
"Eulophiinae","Eulophia promensis ","Lindl.","Ania promensis (Lindl.) Senghas; Ascotainia promensis (Lindl.) Schltr.; Eulophia geniculata King & Pantl.; Eulophia massiei Guillaumin; Tainia promensis (Lindl.) Hook.f.",38,"NA","Chatterji (1965)","NA",
"Eulophiinae","Eulophia horsfallii ","(Bateman) Summerh.","Eulophia alexandri (Rchb.f.) Butzin; Eulophia dybowskii (God.-Leb.) Butzin; Eulophia eleogena (Schltr.) Butzin; Eulophia huillensis Butzin; Eulophia keiliana (Kraenzl.) Butzin; Eulophia magnicristata Szlach. & Olszewski; Eulophia mahonii (Rolfe) A.D.Hawkes; Eulophia multicolor (Kraenzl.) Butzin; Eulophia porphyroglossa (Rchb.f.) Bolus; Eulophia rosea A.D.Hawkes; Eulophia sandersonii (Rchb.f.) A.D.Hawkes; Eulophia sceptrum (Schltr.) Butzin; Eulophia scottii Butzin; Lissochilus alexandri Rchb.f.; Lissochilus dybowskii God.-Leb.; Lissochilus eleogenus Schltr.; Lissochilus elliotii Rendle; Lissochilus horsfallii Bateman; Lissochilus keilianus Kraenzl.; Lissochilus mahonii Rolfe; Lissochilus multicolor Kraenzl.; Lissochilus porphyroglossus Rchb.f.; Lissochilus sandersonii Rchb.f.; Lissochilus sceptrum Schltr.; Lissochilus transvaalensis Rolfe; Lissochilus welwitschii Rchb.f. ",62,"NA","Ar-Rushdi (1971)","NA",
"Eulophiinae","Eulophia aculeata subsp. huttonii ","(Rolfe) A. V. Hall","Eulophia huttonii Rolfe ","NA",27,"Hall (1965)","NA",
"Eulophiinae","Eulophia angolensis ","(Rchb.) Summerh.","Cymbidium angolense Rchb.f.; Cyrtopera stolziana Kraenzl.; Eulophia buchananii (Rchb.f.) Bolus; Eulophia lindleyana (Rchb.f.) Schltr.; Eulophia stolziana (Kraenzl.) Engl.; Lissochilus angolensis (Rchb.f.) Rchb.f.; Lissochilus antunesii Rolfe; Lissochilus buchananii Rchb.f.; Lissochilus eylesii Rendle; Lissochilus katentaniensis De Wild.; Lissochilus latus Rolfe; Lissochilus lindleyanus Rchb.f.; Lissochilus mildbraedii Kraenzl.; Lissochilus paludicolus Rchb.f.; Lissochilus platypterus Rchb.f.; Lissochilus stolzianus (Kraenzl.) Schltr.; Lissochilus ugandae Rolfe; Lissochilus validus Rendle; Lissochilus validus var. minor Rendle ","NA","34, 35, 36, 37, 38","Hall (1965)","NA",
"Eulophiinae","Eulophia hians","Spreng.","Eulophia clavicornis Lindl. ; Eulophia emarginata Lindl.; Eulophia hians var. hians; Eulophia obcordata Rolfe; Eulophia violacea Rchb.f.; Graphorchis clavicornis (Lindl.) Kuntze; Graphorchis emarginata (Lindl.) Kuntze; Graphorchis hians (Spreng.) Kuntze; Graphorchis violacea (Rchb. f.) Kuntze; Graphorkis clavicornis (Lindl.) Kuntze; Graphorkis emarginata (Lindl.) Kuntze; Graphorkis violacea (Rchb.f.) Kuntze ","NA",50,"Hall (1965)","NA",
"Eulophiinae","Eulophia hians var. nutans ","(Sond.) S. Thomas","Eulophia aemula Schltr.; Eulophia amajubae Schltr.; Eulophia bathiei Schltr.; Eulophia buchananii Rolfe; Eulophia carunculifera Rchb.f.; Eulophia clavicornis var. nutans (Sond.) A.V.Hall; Eulophia crinita Rolfe; Eulophia decurva Schltr.; Eulophia ernestii Schltr.; Eulophia flanaganii Bolus; Eulophia galpinii Schltr.; Eulophia gladioloides Rolfe; Eulophia laxiflora Schltr.; Eulophia madagascariensis Kraenzl.; Eulophia nelsonii Rolfe; Eulophia nutans Sond.; Eulophia purpurascens Rolfe; Eulophia triloba Rolfe; Eulophia vaginata Ridl.; Eulophia vleminckxiana Geerinck & Schaijes; Graphorchis madagascariensis (Kraenzl.) Kuntze; Graphorchis nutans (Sond.) Kuntze; Graphorchis vaginata (Ridl.) Kuntze; Graphorkis madagascariensis (Kraenzl.) Kuntze; Graphorkis nutans (Sond.) Kuntze; Graphorkis vaginata (Ridl.) Kuntze; Lissochilus vaginatus H.Perrier ","NA","25, 47","Hall (1965)","NA",
"Eulophiinae","Eulophia ensata ","Lindl.","Eulophia oblonga Rolfe; Graphorchis ensata (Lindl.) Kuntze; Graphorkis ensata (Lindl.) Kuntze ","NA",27,"Hall (1965)","NA",
"Eulophiinae","Eulophia foliosa ","(Lindl.) Bolus","Cymbidium buchananii Rchb.f.; Cyrtopera foliosa Lindl.; Eulophia boltonii Harv. ex Rolfe; Eulophia buchananii (Rchb.f.) T.Durand & Schinz; Eulophia inamoena Kraenzl.; Eulophia reichenbachiana Bolus ","NA",27,"Hall (1965)","NA",
"Eulophiinae","Eulophia fridericii ","(Rchb.) A. V. Hall","Eulophia roseolabia (Schltr.) Butzin; Lissochilus fridericii Rchb.f.; Lissochilus latifolius Schltr.; Lissochilus roseolabius Schltr. ","NA",24,"Hall (1965)","NA",
"Eulophiinae","Eulophia leachii ","Greatrex ex A. V. Hall",,"NA",26,"Hall (1965)","NA",
"Eulophiinae","Eulophia leontoglossa ","Rchb.","Eulophia stenantha Schltr. ","NA",27,"Hall (1965)","NA",
"Eulophiinae","Eulophia macowanii ","Rolfe","Eulophia schnelliae L.Bolus ","NA",28,"Hall (1965)","NA",
"Eulophiinae","Eulophia ovalis ","Lindl.","Eulophia bakeri Rolfe; Eulophia deflexa Rolfe; Eulophia dregeana Lindl.; Eulophia haygarthii Rolfe; Eulophia ovalis subsp. ovalis; Eulophia ovalis var. ovalis; Eulophia ovatipetala Rolfe; Eulophia thunbergii Rolfe; Graphorchis dregeana (Lindl.) Kuntze; Graphorchis ovalis (Lindl.) Kuntze; Graphorkis dregeana (Lindl.) Kuntze; Graphorkis ovalis (Lindl.) Kuntze ","NA","21, 40","Hall (1965)","NA",
"Eulophiinae","Eulophia parviflora ","(Lindl.) A. V. Hall","Cyrtopera oliveriana Rchb.f.; Eulophia aequalis (Lindl.) Bolus; Eulophia bilamellata Schltr.; Eulophia bilamellata var. euryceras Schltr.; Eulophia elegantula Rolfe; Eulophia inandensis Rolfe; Eulophia oliveriana (Rchb.f.) Bolus; Eulophia rupestris Rchb.f.; Eulophia rupincola Rchb.f.; Eulophia saundersiae Rolfe; Eulophia swynnertonii Rendle; Lissochilus aequalis Lindl.; Lissochilus parviflorus Lindl. ","NA",25,"Hall (1965)","NA",
"Eulophiinae","Eulophia speciosa","(R. Br.) Bolus","Cymbidium giganteum (L.f.) Sw.; Cyrtopera gigantea (L.f.) Lindl.; Epidendrum giganteum (L.f.) Poir.; Eulophia austrooccidentalis Sölch; Eulophia brevisepala (Rendle) Summerh.; Eulophia caloptera (Rchb.f.) Summerh.; Eulophia coutreziana Geerinck; Eulophia dispersa N.E.Br.; Eulophia granitica (Rchb. f.) Butzin; Eulophia granitica (Rchb.f.) Cufod.; Eulophia homblei (De Wild.) Butzin; Eulophia leucantha (Kraenzl.) Sölch; Eulophia sapinii De Wild.; Eulophia speciosa var. culveri Schltr.; Eulophia volkensii (Rolfe) Butzin; Eulophia wakefieldii (Rchb.f. & S.Moore) Summerh.; Limodorum giganteum (L.f.) Thunb.; Lissochilus brevisepalus Rendle; Lissochilus calopterus Rchb.f.; Lissochilus dispersus (N.E.Br.) Rolfe; Lissochilus graniticus Rchb.f.; Lissochilus hereroensis Kraenzl.; Lissochilus homblei De Wild.; Lissochilus leucanthus Kraenzl.; Lissochilus rendlei Rolfe; Lissochilus sapinii De Wild.; Lissochilus speciosus R.Br.; Lissochilus speciosus var. culveri (Schltr.) Rolfe; Lissochilus volkensii Rolfe; Lissochilus wakefieldii Rchb.f. & S.Moore; Satyrium giganteum L.f. ","NA",20,"Hall (1965)","NA",
"Eulophiinae","Eulophia tenella ","Rchb.","Eulophia collina Schltr.; Eulophia flaccida Schltr.; Eulophia mossambicensis Schelpe; Eulophia natalensis Rchb.f.; Graphorkis natalensis (Rchb.f.) Kuntze; Graphorkis tenella (Rchb.f.) Kuntze","NA",60,"Hall (1965)","NA",
"Eulophiinae","Eulophia tuberculata","Bolus","Eulophia verrucosa (Rolfe) Butzin; Lissochilus leendertziae Schltr.; Lissochilus platypetalus Lindl.; Lissochilus verrucosus Rolfe","NA",50,"Hall (1965)","NA",
"Eulophiinae","Eulophia welwitschii","(Rchb.) Rolfe","Orthochilus welwitschii Rchb.f.","NA",27,"Hall (1965)","NA",
"Eulophiinae","Eulophia zeyheriana ","Sond.","Eulophia brachystyla Schltr.; Graphorchis zeyheriana (Sond.) Kuntze; Graphorkis zeyheriana (Sond.) Kuntze ","NA",56,"Hall (1965)","NA",
"Eulophiinae","Genus Eulophiella Rolfe (5 species)",,,,,,,
"Eulophiinae","Eulophiella x rolfei","Dupont",,52,"NA","Aoyama (1989)","NA",
"Eulophiinae","Eulophiella elisabethae","Linden & Rolfe","Eulophiella perrieri Schltr. ",52,"NA","Kondo et al. (2003)","NA",
"Eulophiinae","Eulophiella roempleriana","(Rchb.f.) Schltr.","Eulophiella hamelinii Baill. ex Rolfe; Eulophiella peetersiana Kraenzl.; Eulophiella peetersiana f. rubra Hochr.; Grammatophyllum roemplerianum Rchb.f.",52,"NA","Aoyama (1989)","NA",
"Eulophiinae","Eulophiella roempleriana","(Rchb.f.) Schltr.","Eulophiella hamelinii Baill. ex Rolfe; Eulophiella peetersiana Kraenzl.; Eulophiella peetersiana f. rubra Hochr.; Grammatophyllum roemplerianum Rchb.f.",52,"NA","Kondo et al. (2003)","NA",
"Eulophiinae","Genus Grammangis Rchb. f. (2 species)",,,,,,,
"Eulophiinae","Grammangis ellisii ","(Lindl.) Rchb.","Gabertia ellisii (Lindl.) Gaudich.; Grammangis ellisii var. dayanum Rchb.f.; Grammangis fallax Schltr.; Grammatophyllum ellisii Lindl. ",54,"NA","Aoyama (1989)","NA",
"Eulophiinae","Genus Oeceoclades Lindl. (38 species)",,,,,,,
"Eulophiinae","Oeceoclades saundersiana","(Rchb.f.) Garay & P.Taylor","Eulophia bieleri De Wild.; Eulophia mildbraedii Kraenzl.; Eulophia saundersiana Rchb.f.; Eulophidium saundersianum (Rchb.f.) Summerh.; Graphorchis saundersiana (Rchb. f.) Kuntze; Graphorkis saundersiana (Rchb.f.) Kuntze; Lissochilus barombensis Kraenzl. ",58,"NA","Aoyama (1989)","NA",
"Eulophiinae","Oeceoclades saundersiana","(Rchb.f.) Garay & P.Taylor","Eulophia bieleri De Wild.; Eulophia mildbraedii Kraenzl.; Eulophia saundersiana Rchb.f.; Eulophidium saundersianum (Rchb.f.) Summerh.; Graphorchis saundersiana (Rchb. f.) Kuntze; Graphorkis saundersiana (Rchb.f.) Kuntze; Lissochilus barombensis Kraenzl. ",58,"NA","Ar-Rushdi (1971)","NA",
"Eulophiinae","Oeceoclades maculata","(Lindl.) Lindl.","Angraecum maculatum Lindl.; Angraecum monophyllum A.Rich.; Epidendrum connivens Vell.; Eulophia ledienii Stein ex N.E.Br.; Eulophia liedenii N.E.Br.; Eulophia mackenii Rolfe ex Hemsl.; Eulophia maculata (Lindl.) Rchb.f.; Eulophia monophylla (A.Rich.) S.Moore; Eulophidium liedenii (N.E.Br.) De Wild.; Eulophidium mackenii (Rolfe ex Hemsl.) Schltr.; Eulophidium maculatum (Lindl.) Pfitzer; Eulophidium maculatum var. pterocarpum Hauman; Eulophidium monophyllum (A.Rich.) Schltr.; Eulophidium nyassanum Schltr.; Eulophidium warneckeanum Kraenzl.; Geodorum pictum Link; Geodorum pictum Link & Otto; Graphorchis maculata (Lindl.) Kuntze; Graphorkis maculata (Lindl.) Kuntze; Limodorum maculatum (Lindl.) Lodd.; Oeceoclades mackenii (Rolfe ex Hemsl.) Garay & P.Taylor; Oeceoclades maculata var. pterocarpa (Hauman) Garay & P.Taylor; Oeceoclades monophylla (A.Rich.) Garay & P.Taylor; Oeceoclades paraguayensis Hauman ",46,"NA","Guerra (1986)","NA",
"Eulophiinae","Oeceoclades maculata","(Lindl.) Lindl.","Angraecum maculatum Lindl.; Angraecum monophyllum A.Rich.; Epidendrum connivens Vell.; Eulophia ledienii Stein ex N.E.Br.; Eulophia liedenii N.E.Br.; Eulophia mackenii Rolfe ex Hemsl.; Eulophia maculata (Lindl.) Rchb.f.; Eulophia monophylla (A.Rich.) S.Moore; Eulophidium liedenii (N.E.Br.) De Wild.; Eulophidium mackenii (Rolfe ex Hemsl.) Schltr.; Eulophidium maculatum (Lindl.) Pfitzer; Eulophidium maculatum var. pterocarpum Hauman; Eulophidium monophyllum (A.Rich.) Schltr.; Eulophidium nyassanum Schltr.; Eulophidium warneckeanum Kraenzl.; Geodorum pictum Link; Geodorum pictum Link & Otto; Graphorchis maculata (Lindl.) Kuntze; Graphorkis maculata (Lindl.) Kuntze; Limodorum maculatum (Lindl.) Lodd.; Oeceoclades mackenii (Rolfe ex Hemsl.) Garay & P.Taylor; Oeceoclades maculata var. pterocarpa (Hauman) Garay & P.Taylor; Oeceoclades monophylla (A.Rich.) Garay & P.Taylor; Oeceoclades paraguayensis Hauman ",58,"NA","Burg & Laan (1980)","NA",
"Eulophiinae","Oeceoclades calcarata ","(Schltr.) Garay & P.Taylor","Cymbidium calcaratum Schltr.; Eulophia calcarata (Schltr.) Schltr.; Eulophia paniculata Rolfe; Eulophidium paniculatum (Rolfe) Summerh.; Lissochilus paniculatus (Rolfe) H.Perrier ",60,"NA","Aoyama (1989)","NA",
"Eulophiinae","Genus Geodorum Jacks. (38 species)",,,,,,,
"Eulophiinae","Geodorum pallidum"," D. Don","Cymbidium nutans (Roxb.) Sw.; Geodorum purpureum R.Br.; Limodorum nutans Roxb.; Malaxis nutans (Roxb.) Willd. ",52,"NA","Biswas (1980b)","NA",
"Eulophiinae","Geodorum densiflorum","(Lam.) Schltr.","Arethusa glutinosa Blanco; Cistella cernua (Willd.) Blume; Cymbidium pictum R.Br.; Dendrobium haenkeanum Steud.; Dendrobium nutans C.Presl; Geodorum candidum (Roxb.) Lindl.; Geodorum formosanum Rolfe ex Hemsl.; Geodorum fucatum Lindl.; Geodorum neocaledonicum Kraenzl.; Geodorum nutans (C.Presl) Ames; Geodorum pacificum Rolfe; Geodorum pictum (R.Br.) Lindl.; Geodorum rariflorum Lindl.; Geodorum semicristatum Lindl.; Geodorum tricarinatum Schltr.; Limodorum candidum Roxb.; Limodorum densiflorum Lam.; Malaxis cernua Willd.; Ortmannia cernua (Willd.) Opiz; Otandra cernua (Willd.) Salisb.; Tropidia grandis Hance ",36,"NA","Pancho (1965)","NA",
"Eulophiinae","Geodorum densiflorum","(Lam.) Schltr.","Arethusa glutinosa Blanco; Cistella cernua (Willd.) Blume; Cymbidium pictum R.Br.; Dendrobium haenkeanum Steud.; Dendrobium nutans C.Presl; Geodorum candidum (Roxb.) Lindl.; Geodorum formosanum Rolfe ex Hemsl.; Geodorum fucatum Lindl.; Geodorum neocaledonicum Kraenzl.; Geodorum nutans (C.Presl) Ames; Geodorum pacificum Rolfe; Geodorum pictum (R.Br.) Lindl.; Geodorum rariflorum Lindl.; Geodorum semicristatum Lindl.; Geodorum tricarinatum Schltr.; Limodorum candidum Roxb.; Limodorum densiflorum Lam.; Malaxis cernua Willd.; Ortmannia cernua (Willd.) Opiz; Otandra cernua (Willd.) Salisb.; Tropidia grandis Hance ",52,"NA","Biswas (1980b)","NA",
"Eulophiinae","Geodorum densiflorum","(Lam.) Schltr.","Arethusa glutinosa Blanco; Cistella cernua (Willd.) Blume; Cymbidium pictum R.Br.; Dendrobium haenkeanum Steud.; Dendrobium nutans C.Presl; Geodorum candidum (Roxb.) Lindl.; Geodorum formosanum Rolfe ex Hemsl.; Geodorum fucatum Lindl.; Geodorum neocaledonicum Kraenzl.; Geodorum nutans (C.Presl) Ames; Geodorum pacificum Rolfe; Geodorum pictum (R.Br.) Lindl.; Geodorum rariflorum Lindl.; Geodorum semicristatum Lindl.; Geodorum tricarinatum Schltr.; Limodorum candidum Roxb.; Limodorum densiflorum Lam.; Malaxis cernua Willd.; Ortmannia cernua (Willd.) Opiz; Otandra cernua (Willd.) Salisb.; Tropidia grandis Hance ",52,"NA","Mehra & Sehgal (1978)","NA",
"Eulophiinae","Geodorum densiflorum","(Lam.) Schltr.","Arethusa glutinosa Blanco; Cistella cernua (Willd.) Blume; Cymbidium pictum R.Br.; Dendrobium haenkeanum Steud.; Dendrobium nutans C.Presl; Geodorum candidum (Roxb.) Lindl.; Geodorum formosanum Rolfe ex Hemsl.; Geodorum fucatum Lindl.; Geodorum neocaledonicum Kraenzl.; Geodorum nutans (C.Presl) Ames; Geodorum pacificum Rolfe; Geodorum pictum (R.Br.) Lindl.; Geodorum rariflorum Lindl.; Geodorum semicristatum Lindl.; Geodorum tricarinatum Schltr.; Limodorum candidum Roxb.; Limodorum densiflorum Lam.; Malaxis cernua Willd.; Ortmannia cernua (Willd.) Opiz; Otandra cernua (Willd.) Salisb.; Tropidia grandis Hance ",54,"NA","Aoyama (1989)","NA",
"Eulophiinae","Geodorum densiflorum","(Lam.) Schltr.","Arethusa glutinosa Blanco; Cistella cernua (Willd.) Blume; Cymbidium pictum R.Br.; Dendrobium haenkeanum Steud.; Dendrobium nutans C.Presl; Geodorum candidum (Roxb.) Lindl.; Geodorum formosanum Rolfe ex Hemsl.; Geodorum fucatum Lindl.; Geodorum neocaledonicum Kraenzl.; Geodorum nutans (C.Presl) Ames; Geodorum pacificum Rolfe; Geodorum pictum (R.Br.) Lindl.; Geodorum rariflorum Lindl.; Geodorum semicristatum Lindl.; Geodorum tricarinatum Schltr.; Limodorum candidum Roxb.; Limodorum densiflorum Lam.; Malaxis cernua Willd.; Ortmannia cernua (Willd.) Opiz; Otandra cernua (Willd.) Salisb.; Tropidia grandis Hance ",54,"NA","Mehra & Sehgal (1978)","NA",
"Eulophiinae","Genus Cymbidiella Rolfe (3 species)",,,,,,,
"Eulophiinae","Cymbidiella flabellata ","(Thouars) Rolfe","Caloglossum flabellatum (Thouars) Schltr.; Cymbidiella perrieri Schltr.; Cymbidium flabellatum (Thouars) Spreng.; Graphorkis flabellata (Spreng.) Kuntze; Limodorum flabellatum Thouars ",52,"NA","Aoyama (1989)","NA",
"Eulophiinae","Cymbidiella pardalina ","(Rchb.) Garay","Caloglossum rhodochilum (Rolfe) Schltr.; Cymbidiella rhodochila (Rolfe) Rolfe; Cymbidium loise-chauvierii hort.; Cymbidium rhodochilum Rolfe; Grammangis pardalina Rchb.f. ",52,"NA","Aoyama (1989)","NA",
"Eulophiinae","Cymbidiella pardalina ","(Rchb.) Garay","Caloglossum rhodochilum (Rolfe) Schltr.; Cymbidiella rhodochila (Rolfe) Rolfe; Cymbidium loise-chauvierii hort.; Cymbidium rhodochilum Rolfe; Grammangis pardalina Rchb.f. ",54,"NA","Wimber","NA",